header,group,type,sample
Embellishment Feature,Product Details,System.String,Lace
Grip Size,Product Details,System.String,Small
Ink Colour,Product Details,System.String,"Blue, Red, Black"
Length Range,Product Details,System.String,"24-60"" long"
Length Range,Product Details,System.String,"24-60"" long"
Length Range,Product Details,System.String,"24-60"" long"
Length Range,Product Details,System.String,"24-60"" long"
Length Range,Product Details,System.String,"24-60"" long"
Neck Style,Product Details,System.String,Crew neck
Neck Style,Product Details,System.String,Crew neck
Neck Style,Product Details,System.String,Crew neck
Neck Style,Product Details,System.String,Crew neck
Neck Style,Product Details,System.String,Crew neck
Version for Country,Product Details,System.String,French Guiana
Version for Country,Product Details,System.String,French Guiana
Version for Country,Product Details,System.String,French Guiana
Version for Country,Product Details,System.String,French Guiana
Version for Country,Product Details,System.String,French Guiana
Width Range,Product Details,System.String,"24-60"" wide"
Width Range,Product Details,System.String,"24-60"" wide"
Width Range,Product Details,System.String,"24-60"" wide"
Width Range,Product Details,System.String,"24-60"" wide"
Width Range,Product Details,System.String,"24-60"" wide"
Sleeve Type,Product Details,System.String,"3-4-Sleeve, Cap-sleeve"
Closure Type,Product Details,System.String,"Snap,Buckle"
Closure Type,Product Details,System.String,"Snap,Buckle"
Sweater Form,Product Details,System.String,Cardigan
Garment Closure Length Description,Product Details,System.String,Full length
Hemline Form,Product Details,System.String,Fishtail Hemline
Hemline Form,Product Details,System.String,Fishtail Hemline
Hemline Form,Product Details,System.String,Fishtail Hemline
Hemline Form,Product Details,System.String,Fishtail Hemline
Hemline Form,Product Details,System.String,Fishtail Hemline
Size,Product Details,System.String,"Extra Large, One Size"
Metal ID,Product Details,System.String,"1, 2, 3, 4, 5"
Metal Type,Product Details,System.String,"Alloy, Argentium Plated Base"
Metal Stamp,Product Details,System.String,"8k (333), 9k (375)"
Metal Weight,Product Details,System.String,"943, 0.05"
Metal Weight Unit,Product Details,System.String,Grams
Metal ID,Product Details,System.String,"1, 2, 3, 4, 5"
Metal Type,Product Details,System.String,"Alloy, Argentium Plated Base"
Metal Stamp,Product Details,System.String,"8k (333), 9k (375)"
Metal Weight,Product Details,System.String,"943, 0.05"
Metal Weight Unit,Product Details,System.String,Grams
Metal ID,Product Details,System.String,"1, 2, 3, 4, 5"
Metal Type,Product Details,System.String,"Alloy, Argentium Plated Base"
Metal Stamp,Product Details,System.String,"8k (333), 9k (375)"
Metal Weight,Product Details,System.String,"943, 0.05"
Metal Weight Unit,Product Details,System.String,Grams
Stone ID,Product Details,System.String,"1, 2, 3, 4, 5"
Stone Type,Product Details,System.String,"Ruby, Opal, Topaz"
Number of Stones,Product Details,System.String,"1,3"
Stone Creation Method,Product Details,System.String,"Synthetic, Simulated"
Stone Treatment Method,Product Details,System.String,"Bleached, Clarity Enhanced"
Stone Clarity,Product Details,System.String,"FL, I1"
Stone Colour,Product Details,System.String,"Pink, Blue, Red, Yellow"
Stone Cut,Product Details,System.String,Ideal Cut
Stone Shape,Product Details,System.String,"Asscher, Baguette"
Stone ID,Product Details,System.String,"1, 2, 3, 4, 5"
Stone Type,Product Details,System.String,"Ruby, Opal, Topaz"
Number of Stones,Product Details,System.String,"1,3"
Stone Creation Method,Product Details,System.String,"Synthetic, Simulated"
Stone Treatment Method,Product Details,System.String,"Bleached, Clarity Enhanced"
Stone Clarity,Product Details,System.String,"FL, I1"
Stone Colour,Product Details,System.String,"Pink, Blue, Red, Yellow"
Stone Cut,Product Details,System.String,Ideal Cut
Stone Shape,Product Details,System.String,"Asscher, Baguette"
Stone ID,Product Details,System.String,"1, 2, 3, 4, 5"
Stone Type,Product Details,System.String,"Ruby, Opal, Topaz"
Number of Stones,Product Details,System.String,"1,3"
Stone Creation Method,Product Details,System.String,"Synthetic, Simulated"
Stone Treatment Method,Product Details,System.String,"Bleached, Clarity Enhanced"
Stone Clarity,Product Details,System.String,"FL, I1"
Stone Colour,Product Details,System.String,"Pink, Blue, Red, Yellow"
Stone Cut,Product Details,System.String,Ideal Cut
Stone Shape,Product Details,System.String,"Asscher, Baguette"
Pearl Size Unit,Product Details,System.String,Millimetres
Stone Clarity,Product Details,System.String,"Perfection, Slightly Included, Insignificant Inclusions"
Stone Clarity,Product Details,System.String,"Perfection, Slightly Included, Insignificant Inclusions"
Stone Clarity,Product Details,System.String,"Perfection, Slightly Included, Insignificant Inclusions"
Stone Colour,Product Details,System.String,"Pink, Blue, Red, Yellow"
Stone Colour,Product Details,System.String,"Pink, Blue, Red, Yellow"
Stone Colour,Product Details,System.String,"Pink, Blue, Red, Yellow"
Stone Colour,Product Details,System.String,"Pink, Blue, Red, Yellow"
Stone Colour,Product Details,System.String,"Pink, Blue, Red, Yellow"
Stone Cut,Product Details,System.String,Round
Stone Cut,Product Details,System.String,Round
Stone Cut,Product Details,System.String,Round
Stone Shape,Product Details,System.String,"Asscher Shape, Baguette Shape"
Stone Shape,Product Details,System.String,"Asscher Shape, Baguette Shape"
Stone Shape,Product Details,System.String,"Asscher Shape, Baguette Shape"
